customer_pseudo_id,country,age_band,segment,signup_year_month,kyc_verified
e30860152173061a,FR,26-35,retail,2024-01,True
a5186cc792b882a1,IT,46-55,retail,2022-11,False
0e1604f359d0159a,PL,26-35,retail,2024-01,True
0065558b434d14f1,ES,26-35,premium,2023-11,True
067e42d11026a61e,FR,26-35,retail,2022-07,True
6733bd25d6a67591,IT,18-25,premium,2024-03,True
61577aeaf0209bec,DE,26-35,premium,2024-02,True
c2a3de194663d3be,DE,46-55,retail,2023-07,True
7c276a7ae1264914,FR,18-25,retail,2023-06,True
7568788029de3f43,IE,56-65,business,2022-08,True
4706b68424ba0919,IT,26-35,student,2023-11,True
1a418fdd909c305e,FR,18-25,retail,2023-05,True
2e5e9aa9c73a4963,DE,46-55,student,2022-10,True
67ef19ba887130b7,FR,46-55,business,2024-02,True
000dffb9de9befda,FR,36-45,student,2023-10,True
fdeb4009a3cad8ed,PL,36-45,retail,2023-07,True
78f25423b47fc316,SE,56-65,retail,2023-07,True
52e08a431c9b36c3,DE,46-55,retail,2024-02,True
27d9504629ebdbd9,FR,46-55,retail,2023-12,True
32150b1c2a36fcbe,FR,36-45,retail,2024-02,True
9154faaddada2de0,PL,46-55,student,2022-01,True
bb0c9bccf22f0a9d,PL,56-65,student,2023-05,True
c049b472d6171773,FR,36-45,student,2023-08,True
f9560f59df9ee0ce,DE,36-45,retail,2023-06,True
9b5bd8ed6d5d3707,DE,46-55,retail,2023-10,True
1a8525be0afbea09,FR,36-45,business,2020-05,True
de7d708e35051270,ES,26-35,premium,2024-03,True
67818e867856109d,DE,26-35,business,2023-11,True
6838c4517d6d5c8b,DE,46-55,premium,2023-12,True
82d498a814b601bc,FR,36-45,retail,2022-10,True
d11b688791459880,IT,26-35,retail,2022-04,True
cf8f459b8ee22047,DE,36-45,premium,2023-04,True
5a6ad54c26a85915,ES,46-55,premium,2024-01,True
d8368fa5a567f2c6,IE,18-25,retail,2024-02,True
fc5d6ecf1b5f2ef3,PL,36-45,student,2023-01,True
bcfd13af4e912cac,ES,46-55,retail,2023-12,True
b8dfab1866260b0a,PL,18-25,student,2023-10,True
ff435da08d9a22d3,PL,56-65,premium,2022-08,True
3dd3029fcb7e750d,DE,36-45,retail,2024-03,True
cf4a60182d86ac10,DE,46-55,retail,2024-01,True
b5633f745bcf7e47,IT,46-55,retail,2023-12,True
78275f9a90d03bf4,IT,26-35,premium,2022-03,True
297010f6e04744e6,DE,18-25,business,2023-12,True
e8a0582cccdabd58,PL,26-35,student,2023-02,True
4f3cc7a499d5e874,IT,18-25,retail,2022-11,True
2786727cbd2d700e,IT,36-45,business,2024-01,True
77ad2c343dbd5413,PL,36-45,business,2020-07,True
8c8171714b62b2dd,FR,46-55,business,2023-09,True
2a272945b26fd0e7,DE,46-55,premium,2022-12,True
703e54d7acdfbe7d,IT,36-45,retail,2019-03,True
5a59a3596f3e1b25,PL,46-55,retail,2022-12,True
829b0a9404c7af71,SE,56-65,business,2022-06,True
4926a44d3d049001,ES,56-65,student,2023-02,True
da90aa27da317f7c,PL,36-45,retail,2023-10,True
5e5515fa49948982,IT,36-45,retail,2023-05,True
7e123760aad4d5e3,DE,26-35,student,2024-03,True
a8450f4cdeae86ee,DE,56-65,premium,2023-12,True
440dd09fa75a21ed,DE,36-45,retail,2023-06,True
399ba461fabd2455,NL,36-45,student,2023-10,True
52f39706b0ad42c1,ES,46-55,retail,2024-02,False
88f53e44cdbfe09e,PL,26-35,retail,2024-01,True
47575ee3f2572535,IT,56-65,premium,2022-11,True
eb4fb2402107b862,IE,46-55,retail,2023-03,True
9cf7435f3e6be0b6,FR,56-65,retail,2022-09,True
b48d06598e1facac,DE,36-45,retail,2024-02,True
3ef1360101a9794b,DE,66+,retail,2023-08,True
0bc3abe0fe380f08,IT,36-45,retail,2023-03,True
f001e7bb3981ddd5,IT,26-35,retail,2024-01,True
1d3f93c209392537,DE,46-55,retail,2023-04,True
c0af077d240de3de,ES,36-45,business,2023-05,True
45ac00cbd4e2c79b,IE,26-35,student,2023-10,True
deff9c51e31c2530,SE,36-45,retail,2023-11,True
