transaction_id,customer_pseudo_id,account_pseudo_id,merchant_id,timestamp,amount,currency,channel,txn_country,home_country,mcc_category,is_cross_border,is_new_device,is_night_txn,velocity_1h,velocity_24h,amount_zscore,is_fraud,date,year_month,fraud_risk_score,predicted_fraud,flag_zscore_anomaly,iso_forest_score
d05dd7de-4e65-4f3f-b1a5-ef3e040b5838,e30860152173061a,97ec8a192a2b204c,MERCH00016,2024-04-01 18:42:00,60.67,EUR,online,FR,FR,Electronics,0,0,0,0.0,0.0,-0.2978250005193379,False,2024-04-01,2024-04,,,0.0,0.0
a9895dec-8667-404e-8606-6e09f7d77d71,e30860152173061a,97ec8a192a2b204c,MERCH00169,2024-04-15 13:06:00,45.33,EUR,card_not_present,FR,FR,Direct Marketing / Subscriptions,0,0,0,0.0,0.0,-0.0565804738607438,False,2024-04-15,2024-04,,,0.0,0.0
a63867e0-7e47-4775-af57-643e1a6ce64f,e30860152173061a,97ec8a192a2b204c,MERCH00334,2024-04-26 18:57:00,49.69,EUR,online,IT,FR,Utilities,1,0,0,0.0,0.0,-0.3051529916202703,False,2024-04-26,2024-04,,,0.0,0.0
926c5223-e0cf-4b6b-8650-a5a6930efb30,e30860152173061a,97ec8a192a2b204c,MERCH00002,2024-04-30 12:27:00,53.32,EUR,atm_withdrawal,IT,FR,Jewelry,1,0,0,0.0,0.0,0.1800664763538498,False,2024-04-30,2024-04,,,0.0,0.0
828e0fc7-c6cb-49eb-83ff-ceedb0b3b0d9,e30860152173061a,97ec8a192a2b204c,MERCH00220,2024-05-06 13:34:00,42.45,EUR,online,FR,FR,Clothing Stores,0,0,0,0.0,0.0,-1.5096781203467853,False,2024-05-06,2024-05,,,0.0,0.0
574a5cb7-f563-4c9b-b28f-dabda25e2d1f,e30860152173061a,97ec8a192a2b204c,MERCH00326,2024-05-09 20:27:00,39.86,EUR,card_not_present,NL,FR,Misc Retail,1,0,0,0.0,0.0,-1.463096048672614,False,2024-05-09,2024-05,,,0.0,0.0
2ea15bd9-1726-4d37-9d03-dd895ad78c89,e30860152173061a,97ec8a192a2b204c,MERCH00230,2024-05-17 09:57:00,391.66,EUR,card_present,PL,FR,Jewelry,1,0,0,0.0,0.0,10.0,False,2024-05-17,2024-05,,,1.0,0.0
f07146eb-d79c-41e4-a11c-559ef3d28b0b,e30860152173061a,97ec8a192a2b204c,MERCH00272,2024-05-19 08:09:00,332.09,EUR,card_not_present,FR,FR,Electronics,0,0,0,0.0,0.0,1.8058036930449333,False,2024-05-19,2024-05,,,0.0,0.0
858b0c4c-088c-4f05-8268-8354d60021c8,e30860152173061a,97ec8a192a2b204c,MERCH00171,2024-05-27 13:33:00,43.3,EUR,online,FR,FR,Electronics,0,0,0,0.0,0.0,-0.5722766352470539,False,2024-05-27,2024-05,,,0.0,0.0
48ab9a9b-28fd-4697-b131-2d34d92be471,e30860152173061a,97ec8a192a2b204c,MERCH00247,2024-06-06 09:08:00,163.88,EUR,card_not_present,ES,FR,Jewelry,1,0,0,0.0,0.0,0.3319379542907291,False,2024-06-06,2024-06,,,0.0,0.0
